symbol,name,price,change,volume,passes_scanner,passes_filter,wma_daily_1,wma_monthly_2
BAJFINANCE,BAJFINANCE,984.64,0.98,718220,True,True,984.64,937.14
MAXHEALTH,MAXHEALTH,633.65,0.4,752075,True,True,633.65,630.3
BDL,BDL,2363.8,-0.8,692787,True,True,2363.8,2299.62
PGHH,PGHH,3260.9,-0.47,389307,True,True,3260.9,3099.82
UCOBANK,UCOBANK,4129.74,0.25,542927,True,True,4129.74,4011.84
IGIL,IGIL,1021.84,0.08,929908,True,True,1021.84,1000.18
SIGNATURE,SIGNATURE,1020.94,0.42,586225,True,True,1020.94,1001.73
TDPOWERSYS,TDPOWERSYS,4463.7,1.07,17923,True,True,4463.7,4257.0
SPLPETRO,SPLPETRO,1506.54,0.02,745242,True,True,1506.54,1491.89
PVRINOX,PVRINOX,1571.25,0.42,341035,True,True,1571.25,1532.15
ELECON,ELECON,2720.7,1.36,708803,True,True,2720.7,2627.95
ESABINDIA,ESABINDIA,2930.3,-0.78,832012,True,True,2930.3,2897.68
PCJEWELLER,PCJEWELLER,3711.73,0.3,67408,True,True,3711.73,3528.96
LLOYDSENGG,LLOYDSENGG,3793.35,-0.63,37165,True,True,3793.35,3647.83
AURIONPRO,AURIONPRO,4856.93,1.61,103169,True,True,4856.93,4716.08
SENORES,SENORES,3733.27,1.42,616389,True,True,3733.27,3580.37
SAMBHV,SAMBHV,4232.68,-0.69,500564,True,True,4232.68,4114.81
ALEMBICLTD,ALEMBICLTD,4202.03,0.8,547022,True,True,4202.03,4178.43
SSFLPP.E1,SSFLPP.E1,1978.62,1.97,566206,True,True,1978.62,1900.07
ACCELYA,ACCELYA,4535.23,1.57,324095,True,True,4535.23,4418.02
GNA,GNA,3375.47,-0.24,666403,True,True,3375.47,3281.26
SESHAPAPER,SESHAPAPER,2182.23,0.68,498266,True,True,2182.23,2074.57
RADHIKAJWE,RADHIKAJWE,2623.57,0.88,402104,True,True,2623.57,2518.32
SHREEKARNI,SHREEKARNI,4338.75,1.98,464331,True,True,4338.75,4218.48
GINNIFILA,GINNIFILA,2765.28,-0.26,730698,True,True,2765.28,2761.46
INM,INM,4150.14,-0.55,874669,True,True,4150.14,4107.74
SHIVAMAUTO,SHIVAMAUTO,4303.26,0.33,58409,True,True,4303.26,4116.14
AKSHARCHEM,AKSHARCHEM,4872.92,1.89,25200,True,True,4872.92,4863.95
LAL,LAL,4258.14,0.75,527113,True,True,4258.14,4187.74
ALPA,ALPA,2252.84,0.44,746909,True,True,2252.84,2185.26
ABAN,ABAN,2911.92,0.02,137298,True,True,2911.92,2894.72
RKEC,RKEC,1960.05,0.71,32126,True,True,1960.05,1908.29
SELLOWRAP,SELLOWRAP,3855.27,-0.4,853841,True,True,3855.27,3852.18
BULKCORP,BULKCORP,1539.49,0.75,659948,True,True,1539.49,1535.05
KONTOR,KONTOR,3217.14,0.08,257144,True,True,3217.14,3066.86
CYBERPP.E1,CYBERPP.E1,641.16,1.21,420253,True,True,641.16,625.24
SATIPOLY,SATIPOLY,4071.08,1.64,27522,True,True,4071.08,3996.9
SABEVENTS,SABEVENTS,1346.35,-0.87,359951,True,True,1346.35,1320.51
CBAZAAR,CBAZAAR,620.73,0.75,859653,True,True,620.73,601.82
GKWLIMITED,GKWLIMITED,671.43,-0.27,730920,True,True,671.43,660.2
