symbol,name,price,change,volume,passes_scanner,passes_filter,wma_daily_1,wma_monthly_2
AIRTELPP.E1,AIRTELPP.E1,478.16,-0.19,356309,True,True,478.16,468.59
INDIANB,INDIANB,1536.83,1.84,99790,True,True,1536.83,1525.38
COROMANDEL,COROMANDEL,2863.17,0.37,357954,True,True,2863.17,2833.08
ESCORTS,ESCORTS,774.89,-0.19,424142,True,True,774.89,772.49
FINEORG,FINEORG,4208.77,-0.4,422789,True,True,4208.77,4109.92
RITES,RITES,3644.32,0.83,697352,True,True,3644.32,3464.95
SANOFI,SANOFI,2350.87,1.64,588159,True,True,2350.87,2263.74
BORORENEW,BORORENEW,2388.53,-0.08,330956,True,True,2388.53,2328.22
THOMASCOOK,THOMASCOOK,3109.36,0.18,656416,True,True,3109.36,3012.93
PTC,PTC,3133.89,0.33,14012,True,True,3133.89,3085.27
OSWALPUMPS,OSWALPUMPS,3986.61,-0.88,549895,True,True,3986.61,3923.88
KRN,KRN,3789.33,0.02,980939,True,True,3789.33,3645.4
ORIENTCEM,ORIENTCEM,2098.88,-0.11,874354,True,True,2098.88,2075.0
ADVENZYMES,ADVENZYMES,3374.42,0.96,735226,True,True,3374.42,3267.63
KDDL,KDDL,1847.51,-0.13,561777,True,True,1847.51,1822.98
VIDHIING,VIDHIING,2950.55,1.92,851801,True,True,2950.55,2900.95
TALBROAUTO,TALBROAUTO,4686.06,0.41,483062,True,True,4686.06,4470.94
SURYODAY,SURYODAY,4894.3,-0.89,82187,True,True,4894.3,4753.12
GRPLTD,GRPLTD,4178.22,0.61,824434,True,True,4178.22,4010.8
BIGBLOC,BIGBLOC,3745.16,-0.01,43153,True,True,3745.16,3713.88
GULPOLY,GULPOLY,3811.32,0.56,72469,True,True,3811.32,3753.05
EVERESTIND,EVERESTIND,3405.46,1.28,462085,True,True,3405.46,3347.62
LIKHITHA,LIKHITHA,3759.51,0.85,20941,True,True,3759.51,3737.4
SNOWMAN,SNOWMAN,2068.99,-0.04,597914,True,True,2068.99,2058.18
SUTLEJTEX,SUTLEJTEX,2869.75,0.63,677495,True,True,2869.75,2758.96
GIRIRAJ,GIRIRAJ,4746.2,0.46,631739,True,True,4746.2,4596.3
DENORA,DENORA,1983.07,-0.95,825668,True,True,1983.07,1929.14
PRIZOR,PRIZOR,1807.57,-0.57,603461,True,True,1807.57,1738.17
GAYAPROJ,GAYAPROJ,4709.03,0.99,751794,True,True,4709.03,4582.8
KALYANIFRG,KALYANIFRG,3386.25,0.86,566936,True,True,3386.25,3334.31
MURUDCERA,MURUDCERA,1352.27,1.88,57074,True,True,1352.27,1337.28
EMMBI,EMMBI,4581.5,-0.72,205662,True,True,4581.5,4433.49
RAJPUTANA,RAJPUTANA,1631.2,-0.53,928853,True,True,1631.2,1578.13
GULFPETRO,GULFPETRO,598.82,1.1,381878,True,True,598.82,588.51
RAPIDFLEET,RAPIDFLEET,4007.74,1.87,636136,True,True,4007.74,3885.82
SLONE,SLONE,4562.43,0.2,732142,True,True,4562.43,4501.07
DIGIDRIVE,DIGIDRIVE,1526.88,0.98,244466,True,True,1526.88,1464.01
ORIENTLTD,ORIENTLTD,4569.09,-1.0,536769,True,True,4569.09,4404.61
MHHL,MHHL,770.86,1.01,509517,True,True,770.86,753.54
BLUECOAST,BLUECOAST,791.78,0.4,366315,True,True,791.78,754.89
GANGABATH,GANGABATH,3626.89,1.39,101933,True,True,3626.89,3481.5
KONTOR,KONTOR,3802.35,0.49,917393,True,True,3802.35,3682.53
NAGREEKCAP,NAGREEKCAP,4429.8,1.17,240775,True,True,4429.8,4242.54
UMESLTD,UMESLTD,4450.38,1.61,454430,True,True,4450.38,4314.98
RAJVIR,RAJVIR,2933.85,0.12,367344,True,True,2933.85,2926.45
