symbol,name,price,change,volume,passes_scanner,passes_filter,wma_daily_1,wma_monthly_2
KOTAKBANK,KOTAKBANK,546.3,1.47,918140,True,True,546.3,539.41
DLF,DLF,4533.64,0.28,61375,True,True,4533.64,4434.25
BAJAJHFL,BAJAJHFL,2285.69,-0.4,708881,True,True,2285.69,2172.81
PAYTM,PAYTM,1605.56,0.61,413182,True,True,1605.56,1598.76
NATIONALUM,NATIONALUM,3050.7,0.34,808612,True,True,3050.7,2930.05
PRESTIGE,PRESTIGE,4334.05,-0.01,332800,True,True,4334.05,4142.99
AFFLE,AFFLE,4064.91,-0.82,31108,True,True,4064.91,4010.73
ATUL,ATUL,2854.24,-0.96,409881,True,True,2854.24,2734.4
TRAVELFOOD,TRAVELFOOD,2411.3,-0.78,92591,True,True,2411.3,2393.01
RPOWER,RPOWER,3935.91,0.45,181121,True,True,3935.91,3786.75
BALRAMCHIN,BALRAMCHIN,4334.7,1.53,800021,True,True,4334.7,4325.59
GENUSPOWER,GENUSPOWER,3690.94,-0.03,392748,True,True,3690.94,3513.21
MASFIN,MASFIN,4268.83,0.3,628279,True,True,4268.83,4233.79
SHARDAMOTR,SHARDAMOTR,4533.28,1.07,218805,True,True,4533.28,4521.46
PTC,PTC,235.61,-0.21,23853,True,True,235.61,227.31
DATAMATICS,DATAMATICS,2206.09,1.71,91095,True,True,2206.09,2142.05
KRN,KRN,4781.46,0.82,108672,True,True,4781.46,4587.73
VIMTALABS,VIMTALABS,2672.04,0.82,809445,True,True,2672.04,2570.05
GANECOS,GANECOS,4206.98,-0.54,464495,True,True,4206.98,4188.13
NIBE,NIBE,1916.72,-0.73,927882,True,True,1916.72,1873.24
PUNJABCHEM,PUNJABCHEM,215.57,-0.21,334171,True,True,215.57,206.77
MVGJL,MVGJL,2093.9,1.08,272836,True,True,2093.9,2000.1
BHAGYANGR,BHAGYANGR,4498.05,1.41,305891,True,True,4498.05,4273.41
MCLEODRUSS,MCLEODRUSS,1859.19,1.48,556230,True,True,1859.19,1827.86
KOTHARIPRO,KOTHARIPRO,1223.94,-0.6,599807,True,True,1223.94,1183.13
MBLINFRA,MBLINFRA,793.59,1.9,542031,True,True,793.59,754.49
AARTISURF,AARTISURF,3723.56,-0.52,301454,True,True,3723.56,3572.15
ANYA,ANYA,4632.67,0.23,203245,True,True,4632.67,4475.67
MUNISH,MUNISH,1347.67,-0.3,385045,True,True,1347.67,1301.85
AFFORDABLE,AFFORDABLE,4921.58,1.86,350582,True,True,4921.58,4825.83
TUNWAL,TUNWAL,4461.76,-0.06,468627,True,True,4461.76,4453.9
DIGIKORE,DIGIKORE,321.4,1.45,196519,True,True,321.4,319.1
HPIL,HPIL,760.98,-0.19,759662,True,True,760.98,738.61
REXPIPES,REXPIPES,2962.83,-0.8,615834,True,True,2962.83,2880.02
SILKY,SILKY,353.74,-0.11,403258,True,True,353.74,337.27
ARVINDPORT,ARVINDPORT,4179.48,0.98,463750,True,True,4179.48,4176.71
NEUEON,NEUEON,3141.06,1.92,195513,True,True,3141.06,2987.7
DCMFINSERV,DCMFINSERV,1389.77,0.15,921549,True,True,1389.77,1342.57
